2878552400,Tanmoy_Chak,friends,90,106,19,88,Sun Oct 26 17:24:14 +0000 2014,https://t.co/41etl2BCU9,img/2878552400.jpg,College Park  MD
20963651,seanjtaylor,friends,2246,15686,775,11093,Mon Feb 16 04:55:26 +0000 2009,http://t.co/tbaaeUtZyK,img/20963651.jpg,San Francisco  CA
17163609,mrogati,friends,496,39673,1476,2172,Tue Nov 04 18:28:23 +0000 2008,https://t.co/x8lm4RSGwW,img/17163609.jpg,Sunnyvale  CA
765548,hmason,friends,1449,101746,5056,16989,Sun Feb 11 21:22:24 +0000 2007,http://t.co/ijjKDNIVOE,img/765548.jpg,NYC
14839109,dpatil,friends,1525,48129,1915,14621,Mon May 19 23:31:12 +0000 2008,https://t.co/estKCsbIKg,img/14839109.jpg,California  USA
10236922,rayidghani,friends,220,4360,206,495,Wed Nov 14 04:31:55 +0000 2007,https://t.co/YDBH5BOxRX,img/10236922.jpg,chicago
1259043697,datascifellows,friends,209,20795,487,1656,Mon Mar 11 09:36:41 +0000 2013,http://t.co/nSjFXvyGPl,img/1259043697.png,Chicago  IL
870209472400175104,DSSG_Europe,friends,121,201,6,109,Thu Jun 01 09:24:40 +0000 2017,https://t.co/WF8Sj7SKEe,img/870209472400175104.jpg,Cascais  Portugal
16629994,bkeegan,friends,1398,5722,475,25548,Tue Oct 07 14:09:00 +0000 2008,https://t.co/HkgceId6xT,img/16629994.png,Bad Wildbad  Deutschland
3322905424,ridhikash07,friends,238,227,4,92,Sat Jun 13 11:30:27 +0000 2015,,img/3322905424.jpg,Oxford  England
547871798,ingmarweber,friends,1381,1645,80,1745,Sat Apr 07 20:04:30 +0000 2012,https://t.co/4T0ofc0P8E,img/547871798.jpg,Doha  Qatar
32807399,KristinaLerman,friends,190,958,71,1120,Sat Apr 18 05:49:49 +0000 2009,,img/32807399.jpg,Los Angeles
180749030,rohankatyal29,friends,82,68,0,53,Fri Aug 20 11:22:10 +0000 2010,https://t.co/JoUZ6ZBmwq,img/180749030.jpg,Atlanta  GA
143872881,sudipmittal,friends,205,195,45,4150,Fri May 14 17:08:00 +0000 2010,http://t.co/otgIoW2Hxa,img/143872881.png,Baltimore
366154590,GurmanBhatia,friends,1556,2621,153,7220,Thu Sep 01 17:29:03 +0000 2011,https://t.co/965NLJzBIR,img/366154590.jpg,New Delhi  India
881461410588315648,kushbhargava5,friends,6,10,0,4,Sun Jul 02 10:35:51 +0000 2017,,img/881461410588315648.jpg,
816653,TechCrunch,friends,971,9900205,110332,171509,Wed Mar 07 01:27:09 +0000 2007,https://t.co/b5Oyx1k1ye,img/816653.jpg,San Francisco  CA
44196397,elonmusk,friends,47,16678769,39872,3714,Tue Jun 02 20:12:29 +0000 2009,,img/44196397.jpg,Boring
131607129,R_Ashwin,friends,499,192,5,131,Sat Apr 10 19:51:45 +0000 2010,https://t.co/iYnrguN4Se,img/131607129.jpg,Ann Arbor  MI
19226567,rmsherman,friends,834,550,22,287,Tue Jan 20 09:55:43 +0000 2009,,img/19226567.jpg,Washington  DC
275686563,verge,friends,138,2348075,34084,131870,Fri Apr 01 19:54:22 +0000 2011,http://t.co/W2SFxIXkC4,img/275686563.jpg,New York
57047586,atlasobscura,friends,3377,271028,3945,44760,Wed Jul 15 15:33:08 +0000 2009,http://t.co/eRquXCISa8,img/57047586.jpg,Everywhere
349749215,MeghaGupta19,friends,293,139,1,170,Sat Aug 06 16:41:14 +0000 2011,,img/349749215.jpg,Gurgaon  India
1162602396,karangupta92,friends,660,376,13,183,Sat Feb 09 10:38:29 +0000 2013,https://t.co/EaR0ZYRXpq,img/1162602396.jpg,San Francisco  CA
775449094739197953,goodfellow_ian,friends,461,51592,899,1205,Mon Sep 12 21:40:46 +0000 2016,https://t.co/3ZbcPzj8Zs,img/775449094739197953.jpg,San Francisco  CA
38433184,ashish_sureka,friends,31,594,23,3283,Thu May 07 13:48:52 +0000 2009,https://t.co/sMMu6byEp0,img/38433184.jpg,Bengaluru  India
2364586424,AiranSwati,friends,163,91,20,433,Thu Feb 27 19:36:57 +0000 2014,http://t.co/wLi6hyclos,img/2364586424.jpg,Goa  India
3918111614,OriolVinyalsML,friends,43,35295,660,269,Fri Oct 16 21:59:52 +0000 2015,https://t.co/J42P55J9al,img/3918111614.jpg,London  England
65588389,gangulyniloy,friends,19,499,12,215,Fri Aug 14 07:40:53 +0000 2009,http://t.co/ROvPKVdCVt,img/65588389.jpg,India
33836629,karpathy,friends,445,104456,2117,5759,Tue Apr 21 06:49:15 +0000 2009,https://t.co/UnoPfBvH9V,img/33836629.jpg,Stanford
48008938,ylecun,friends,180,71608,1625,1854,Wed Jun 17 16:05:51 +0000 2009,http://t.co/rBCcBh4hwE,img/48008938.jpg,New York
216939636,AndrewYNg,friends,338,235012,4172,1033,Thu Nov 18 03:39:11 +0000 2010,https://t.co/XidcMETENd,img/216939636.jpg,Palo Alto  CA
1440164456,Haree21,friends,91,51,1,24,Sun May 19 04:13:52 +0000 2013,https://t.co/yqFcmUEriC,img/1440164456.jpg,New Brunswick  NJ
2789947838,SenguptaSrishti,friends,505,260,4,86,Thu Sep 04 15:05:42 +0000 2014,,img/2789947838.jpg,
198102405,mnkvachher,friends,342,131,0,42,Sun Oct 03 10:49:54 +0000 2010,https://t.co/t2jQ68Swt3,img/198102405.jpg,India
743633861473501184,Bhatnagar_Juhi,friends,216,111,2,45,Fri Jun 17 02:38:23 +0000 2016,https://t.co/D9hax54nDn,img/743633861473501184.jpg,New Delhi  India
229058033,Giggle_water,friends,795,7920,132,12360,Tue Dec 21 11:55:44 +0000 2010,https://t.co/QfNGuv1ZAP,img/229058033.jpg,Delhi | Mumbai 
15273105,denzil_correa,friends,182,692,33,19808,Sun Jun 29 20:23:29 +0000 2008,https://t.co/pPlwi5p4eO,img/15273105.jpg,221B Baker Street
301072802,samarth_b,friends,249,290,15,507,Wed May 18 20:44:50 +0000 2011,http://t.co/jL8KrD29xP,img/301072802.jpg,Bengaluru  India
54836783,vinayaksn,friends,33,503,6,719,Wed Jul 08 08:15:24 +0000 2009,https://t.co/qGgAFY5Qpq,img/54836783.jpg,New Delhi  India
257384817,Srishti_Gupta14,friends,651,244,6,409,Fri Feb 25 09:06:54 +0000 2011,http://t.co/L5WVN23pl8,img/257384817.jpg,Delhi
43864040,lakshaypandey,friends,845,420,19,2139,Mon Jun 01 10:33:49 +0000 2009,https://t.co/X5SuMhDN76,img/43864040.jpg,New Delhi India
118385743,hemanklamba,friends,334,433,15,913,Sun Feb 28 14:26:02 +0000 2010,https://t.co/2ZQ8HB99l1,img/118385743.jpg,Pittsburgh  PA
318272761,goodboyanush,friends,235,302,2,780,Thu Jun 16 06:45:49 +0000 2011,https://t.co/1fXLmLiRh1,img/318272761.jpg,Bengaluru  India
204198285,pari_lakshya,friends,85,215,3,426,Mon Oct 18 04:21:38 +0000 2010,http://t.co/qWRYwYK3GP,img/204198285.jpg,India
94937246,akshitnanda,friends,541,314,4,3052,Sun Dec 06 04:53:02 +0000 2009,,img/94937246.jpg,Delhi  India
39968218,apoorvnarang,friends,590,445,12,633,Thu May 14 10:33:11 +0000 2009,https://t.co/LfPLtjPMUV,img/39968218.jpg,San Francisco  CA
96041487,prateekdewan,friends,171,335,5,551,Fri Dec 11 02:46:25 +0000 2009,http://t.co/5n5wVlVxCu,img/96041487.jpg,Bengaluru  India
47057665,DheerajSanghi,friends,49,2539,31,5281,Sun Jun 14 08:10:01 +0000 2009,http://t.co/2lly6jOEnF,img/47057665.jpg,Kanpur  India
826812080841895938,shravika_mittal,friends,141,61,0,31,Wed Feb 01 15:18:56 +0000 2017,,img/826812080841895938.jpg,New Delhi  India
172846314,jayasimehar,friends,249,179,2,84,Fri Jul 30 19:20:06 +0000 2010,,img/172846314.jpg,Urbana  IL
383897825,meghaarora42,friends,302,314,4,105,Sun Oct 02 18:19:49 +0000 2011,http://t.co/7FF5P1Sjtz,img/383897825.jpg,New York  USA
2227868629,IIITDelhi,friends,32,1055,38,1821,Tue Dec 03 07:27:35 +0000 2013,http://t.co/Shz3rGJG0f,img/2227868629.jpg,New Delhi  India
72248158,ponguru,friends,203,1722,37,1937,Mon Sep 07 09:35:44 +0000 2009,http://t.co/RFj3X09m9H,img/72248158.png,New Delhi  India
